,producto,fecha,pais,transporte,kg,tipo
102,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Reino Unido,Carretera,384350.08,import
103,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Reino Unido,Carretera,611684.08,import
104,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Reino Unido,Carretera,1725461.16,import
105,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Reino Unido,Carretera,1943480.16,import
106,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Reino Unido,Carretera,2838816.38,import
107,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Reino Unido,Carretera,55731.08,import
114,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Irlanda,Marítimo,200.0,import
115,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Irlanda,Marítimo,24650.0,import
122,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Irlanda,Carretera,22360.0,import
132,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Dinamarca,Marítimo,401620.0,import
133,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Dinamarca,Marítimo,555500.0,import
134,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Dinamarca,Marítimo,1166145.0,import
135,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Dinamarca,Marítimo,159460.0,import
136,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Dinamarca,Marítimo,129460.0,import
138,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Dinamarca,Carretera,24001.0,import
139,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Dinamarca,Carretera,98270.0,import
140,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Dinamarca,Carretera,149375.0,import
141,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Dinamarca,Carretera,58652.0,import
142,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Dinamarca,Carretera,49151.38,import
143,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Dinamarca,Carretera,24034.0,import
151,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Grecia,Carretera,30000.0,import
152,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Grecia,Carretera,96600.0,import
153,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Grecia,Carretera,23000.0,import
162,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Portugal,Marítimo,23750.0,import
163,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Portugal,Marítimo,23750.0,import
168,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Portugal,Carretera,416697.0,import
169,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Portugal,Carretera,431958.0,import
170,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Portugal,Carretera,872115.0,import
171,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Portugal,Carretera,533157.23,import
172,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Portugal,Carretera,1657835.88,import
173,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Portugal,Carretera,8054788.04,import
180,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Bélgica,Carretera,2199420.0,import
181,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Bélgica,Carretera,2781248.0,import
182,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Bélgica,Carretera,3320417.0,import
183,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Bélgica,Carretera,1874368.75,import
184,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Bélgica,Carretera,1659067.2,import
185,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Bélgica,Carretera,457117.0,import
192,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Luxemburgo,Carretera,362110.0,import
193,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Luxemburgo,Carretera,477330.0,import
194,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Luxemburgo,Carretera,395200.0,import
195,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Luxemburgo,Carretera,296720.0,import
196,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Luxemburgo,Carretera,149640.0,import
197,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Luxemburgo,Carretera,25050.0,import
204,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-01-01 00:00:00, Suecia,Marítimo,171380.0,import
205,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Suecia,Marítimo,151200.0,import
206,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-03-01 00:00:00, Suecia,Marítimo,74590.0,import
208,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Suecia,Marítimo,25000.0,import
211,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-02-01 00:00:00, Suecia,Carretera,30.0,import
