,producto,fecha,pais,transporte,Ton,tipo
43,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Países Bajos,Carretera,473.97,import
44,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Países Bajos,Carretera,498.43,import
45,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Países Bajos,Carretera,1758.12,import
46,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Países Bajos,Carretera,5164.37,import
47,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Países Bajos,Carretera,8039.64,import
55,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Alemania,Carretera,1.84,import
56,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Alemania,Carretera,21.15,import
57,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Alemania,Carretera,184.73,import
58,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Alemania,Carretera,310.66,import
59,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Alemania,Carretera,579.33,import
67,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Italia,Carretera,36.24,import
68,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Italia,Carretera,4.98,import
69,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Italia,Carretera,37.84,import
70,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Italia,Carretera,29.56,import
71,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Italia,Carretera,28.17,import
79,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Reino Unido,Carretera,5.46,import
80,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Reino Unido,Carretera,45.33,import
81,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Reino Unido,Carretera,0.64,import
82,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Reino Unido,Carretera,19.8,import
83,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Reino Unido,Carretera,73.7,import
92,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Grecia,Carretera,0.03,import
104,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Portugal,Marítimo,40.47,import
105,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Portugal,Marítimo,50.15,import
109,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Portugal,Carretera,1049.25,import
110,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Portugal,Carretera,2790.88,import
111,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Portugal,Carretera,13882.71,import
112,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Portugal,Carretera,10029.21,import
113,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Portugal,Carretera,16098.15,import
121,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Bélgica,Carretera,37.41,import
122,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Bélgica,Carretera,58.0,import
123,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Bélgica,Carretera,264.68,import
124,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Bélgica,Carretera,633.64,import
125,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Bélgica,Carretera,1174.68,import
134,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Austria,Carretera,4.18,import
137,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Austria,Carretera,19.58,import
145,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Estonia,Carretera,0.25,import
158,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Lituania,Carretera,1.8,import
169,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Polonia,Carretera,96.97,import
170,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Polonia,Carretera,112.1,import
171,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Polonia,Carretera,551.24,import
172,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Polonia,Carretera,1684.8,import
173,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Polonia,Carretera,1837.93,import
183,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Eslovaquia,Carretera,0.93,import
194,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Albania,Carretera,21.13,import
209,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Ucrania,Carretera,18.72,import
217,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Eslovenia,Carretera,5.44,import
218,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Eslovenia,Carretera,7.13,import
229,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Marruecos,Marítimo,5261.77,import
230,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Marruecos,Marítimo,4254.8,import
231,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Marruecos,Marítimo,2344.36,import
232,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Marruecos,Marítimo,756.62,import
233,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Marruecos,Marítimo,941.89,import
235,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Marruecos,Carretera,222.0,import
236,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Marruecos,Carretera,242.6,import
237,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Marruecos,Carretera,235.57,import
238,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Marruecos,Carretera,51.66,import
239,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Marruecos,Carretera,69.88,import
241,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Marruecos,Propulsión propia,18.03,import
253,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Egipto,Carretera,8.04,import
268,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Costa de Marfil,Carretera,0.59,import
280,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Camerún,Carretera,6.1,import
292,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Sudáfrica,Carretera,39.6,import
293,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Sudáfrica,Carretera,415.8,import
303,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, México,Carretera,19.8,import
305,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, México,Carretera,4.1,import
313,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Colombia,Carretera,0.08,import
314,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Colombia,Carretera,0.07,import
315,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Colombia,Carretera,0.07,import
317,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Colombia,Carretera,0.02,import
327,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Ecuador,Carretera,1.44,import
329,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Ecuador,Carretera,20.97,import
338,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Líbano,Carretera,0.09,import
