fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,006 Reino Unido,3  Carretera,"151047,53"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,Total modo transporte,"76645,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,007 Irlanda,Total modo transporte,"25000,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,007 Irlanda,Total modo transporte,"50025,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,007 Irlanda,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,007 Irlanda,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,007 Irlanda,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,007 Irlanda,Total modo transporte,"1620,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,1  Marítimo,"75025,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,007 Irlanda,1  Marítimo,"25000,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,007 Irlanda,1  Marítimo,"50025,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,3  Carretera,"1620,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,007 Irlanda,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,007 Irlanda,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,007 Irlanda,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,007 Irlanda,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,007 Irlanda,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,007 Irlanda,3  Carretera,"1620,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,008 Dinamarca,Total modo transporte,"3299999,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,008 Dinamarca,Total modo transporte,"954754,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,008 Dinamarca,Total modo transporte,"1054375,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,008 Dinamarca,Total modo transporte,"949375,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,008 Dinamarca,Total modo transporte,"269120,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,008 Dinamarca,Total modo transporte,"48375,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,008 Dinamarca,Total modo transporte,"24000,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,008 Dinamarca,1  Marítimo,"3128974,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,008 Dinamarca,1  Marítimo,"930354,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,008 Dinamarca,1  Marítimo,"1030375,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,008 Dinamarca,1  Marítimo,"923125,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,008 Dinamarca,1  Marítimo,"245120,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,008 Dinamarca,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,008 Dinamarca,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,008 Dinamarca,3  Carretera,"171025,00"
