fila,subfila,columna,subcolumna,valor
"070320 Ajos,  frescos o refrigerados",,338 Djibouti,IMPORT,
"070320 Ajos,  frescos o refrigerados",,342 Somalia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,346 Kenia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,350 Uganda,IMPORT,
"070320 Ajos,  frescos o refrigerados",,352 Tanzania,IMPORT,
"070320 Ajos,  frescos o refrigerados",,355 Seychelles,IMPORT,
"070320 Ajos,  frescos o refrigerados",,357 Territorio Británico Indico,IMPORT,
"070320 Ajos,  frescos o refrigerados",,366 Mozambique,IMPORT,
"070320 Ajos,  frescos o refrigerados",,370 Madagascar,IMPORT,
"070320 Ajos,  frescos o refrigerados",,372 Reunión (h.31/12/96),IMPORT,
"070320 Ajos,  frescos o refrigerados",,373 Mauricio,IMPORT,
"070320 Ajos,  frescos o refrigerados",,375 Comoras,IMPORT,
"070320 Ajos,  frescos o refrigerados",,377 Mayotte (h.31/12/94),IMPORT,
"070320 Ajos,  frescos o refrigerados",,378 Zambia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,382 Zimbabwe,IMPORT,
"070320 Ajos,  frescos o refrigerados",,386 Malawi,IMPORT,
"070320 Ajos,  frescos o refrigerados",,388 Sudáfrica (d.01/01/90),IMPORT,"33,09"
"070320 Ajos,  frescos o refrigerados",,389 Namibia (d.01/01/90),IMPORT,
"070320 Ajos,  frescos o refrigerados",,390 Sudáfrica (incl.Namibia)(h.31/12/89),IMPORT,
"070320 Ajos,  frescos o refrigerados",,391 Botswana,IMPORT,
"070320 Ajos,  frescos o refrigerados",,393 Swazilandia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,395 Lesotho,IMPORT,
"070320 Ajos,  frescos o refrigerados",,400 Estados Unidos,IMPORT,
"070320 Ajos,  frescos o refrigerados",,404 Canadá,IMPORT,"0,15"
"070320 Ajos,  frescos o refrigerados",,406 Groenlandia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,408 San Pedro y Miquelón,IMPORT,
"070320 Ajos,  frescos o refrigerados",,412 México,IMPORT,
"070320 Ajos,  frescos o refrigerados",,413 Bermudas,IMPORT,
"070320 Ajos,  frescos o refrigerados",,416 Guatemala,IMPORT,
"070320 Ajos,  frescos o refrigerados",,421 Belice,IMPORT,
"070320 Ajos,  frescos o refrigerados",,424 Honduras,IMPORT,"0,02"
"070320 Ajos,  frescos o refrigerados",,428 El Salvador,IMPORT,
"070320 Ajos,  frescos o refrigerados",,432 Nicaragua,IMPORT,
"070320 Ajos,  frescos o refrigerados",,436 Costa Rica,IMPORT,"9,00"
"070320 Ajos,  frescos o refrigerados",,440 Panamá (h.31/12/80),IMPORT,
"070320 Ajos,  frescos o refrigerados",,442 Panamá (d.01/01/81),IMPORT,
"070320 Ajos,  frescos o refrigerados",,444 Canal de Panamá (h.31/12/80),IMPORT,
"070320 Ajos,  frescos o refrigerados",,446 Anguilla,IMPORT,
"070320 Ajos,  frescos o refrigerados",,448 Cuba,IMPORT,
"070320 Ajos,  frescos o refrigerados",,449 San Cristóbal y Nieves,IMPORT,
"070320 Ajos,  frescos o refrigerados",,450 Indias Occidentales (h.31/12/85),IMPORT,
"070320 Ajos,  frescos o refrigerados",,451 Indias Occidentales (h.31/12/82),IMPORT,
"070320 Ajos,  frescos o refrigerados",,452 Haití,IMPORT,
"070320 Ajos,  frescos o refrigerados",,453 Bahamas,IMPORT,
"070320 Ajos,  frescos o refrigerados",,454 Islas Turcas y Caicos,IMPORT,
"070320 Ajos,  frescos o refrigerados",,455 Indias Occidentales (h.31/12/86),IMPORT,
"070320 Ajos,  frescos o refrigerados",,456 República Dominicana,IMPORT,
"070320 Ajos,  frescos o refrigerados",,457 Islas Virgenes (EEUU),IMPORT,
"070320 Ajos,  frescos o refrigerados",,458 Guadalupe (h.31/12/96),IMPORT,
"070320 Ajos,  frescos o refrigerados",,459 Antigua y Barbuda,IMPORT,
"070320 Ajos,  frescos o refrigerados",,460 Dominica,IMPORT,
"070320 Ajos,  frescos o refrigerados",,461 Islas Vírgenes (GB) y Montserrat (h.31/12/94),IMPORT,
"070320 Ajos,  frescos o refrigerados",,462 Martinica (h.31/12/96),IMPORT,
"070320 Ajos,  frescos o refrigerados",,463 Islas Caimán,IMPORT,
"070320 Ajos,  frescos o refrigerados",,464 Jamaica,IMPORT,
"070320 Ajos,  frescos o refrigerados",,465 Santa Lucía,IMPORT,
"070320 Ajos,  frescos o refrigerados",,466 Sant Bartolomé,IMPORT,
"070320 Ajos,  frescos o refrigerados",,467 San Vicente y Granadinas,IMPORT,
"070320 Ajos,  frescos o refrigerados",,468 Islas Vírgenes (GB) (d.01/01/95),IMPORT,
"070320 Ajos,  frescos o refrigerados",,469 Barbados,IMPORT,
"070320 Ajos,  frescos o refrigerados",,470 Montserrat (d.01/01/95),IMPORT,
"070320 Ajos,  frescos o refrigerados",,472 Trinidad y Tobago,IMPORT,
"070320 Ajos,  frescos o refrigerados",,473 Granada,IMPORT,
"070320 Ajos,  frescos o refrigerados",,474 Aruba (d.01/01/87),IMPORT,
"070320 Ajos,  frescos o refrigerados",,475 Curaçao,IMPORT,
"070320 Ajos,  frescos o refrigerados",,476 Antillas Neerlandesas (incl.Aruba)(h.31/12/86),IMPORT,
"070320 Ajos,  frescos o refrigerados",,"477 Bonaire, San Eustaquio y Saba",IMPORT,
"070320 Ajos,  frescos o refrigerados",,478 Antillas Neerlandesas (d.01/01/87),IMPORT,
"070320 Ajos,  frescos o refrigerados",,479 San Martín,IMPORT,
"070320 Ajos,  frescos o refrigerados",,480 Colombia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,484 Venezuela,IMPORT,
"070320 Ajos,  frescos o refrigerados",,488 Guyana,IMPORT,
"070320 Ajos,  frescos o refrigerados",,492 Surinam,IMPORT,
"070320 Ajos,  frescos o refrigerados",,496 Guyana Francesa (h.31/12/96),IMPORT,
"070320 Ajos,  frescos o refrigerados",,500 Ecuador,IMPORT,"31,68"
"070320 Ajos,  frescos o refrigerados",,504 Perú,IMPORT,
"070320 Ajos,  frescos o refrigerados",,508 Brasil,IMPORT,"24,10"
"070320 Ajos,  frescos o refrigerados",,512 Chile,IMPORT,
"070320 Ajos,  frescos o refrigerados",,516 Bolivia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,520 Paraguay,IMPORT,
"070320 Ajos,  frescos o refrigerados",,524 Uruguay,IMPORT,
"070320 Ajos,  frescos o refrigerados",,528 Argentina,IMPORT,"302,97"
"070320 Ajos,  frescos o refrigerados",,529 Islas Malvinas (Falkland),IMPORT,
"070320 Ajos,  frescos o refrigerados",,600 Chipre,IMPORT,
"070320 Ajos,  frescos o refrigerados",,604 Líbano,IMPORT,
"070320 Ajos,  frescos o refrigerados",,608 Siria,IMPORT,
"070320 Ajos,  frescos o refrigerados",,612 Irak,IMPORT,
"070320 Ajos,  frescos o refrigerados",,616 Irán,IMPORT,
"070320 Ajos,  frescos o refrigerados",,624 Israel,IMPORT,
"070320 Ajos,  frescos o refrigerados",,625 Cisjordania/Franja de Gaza,IMPORT,
"070320 Ajos,  frescos o refrigerados",,626 Timor-Leste (d.01/01/03);Timor Este (h.31/12/02),IMPORT,
"070320 Ajos,  frescos o refrigerados",,628 Jordania,IMPORT,
"070320 Ajos,  frescos o refrigerados",,632 Arabia Saudí,IMPORT,
"070320 Ajos,  frescos o refrigerados",,636 Kuwait,IMPORT,
"070320 Ajos,  frescos o refrigerados",,640 Bahrein,IMPORT,
"070320 Ajos,  frescos o refrigerados",,644 Qatar,IMPORT,
"070320 Ajos,  frescos o refrigerados",,647 Emiratos Árabes Unidos,IMPORT,
"070320 Ajos,  frescos o refrigerados",,649 Omán,IMPORT,
"070320 Ajos,  frescos o refrigerados",,652 Yemen del Norte (h.31/12/90),IMPORT,
"070320 Ajos,  frescos o refrigerados",,653 Yemen (d.01/01/91),IMPORT,
"070320 Ajos,  frescos o refrigerados",,656 Yemen del Sur (h.31/12/90),IMPORT,
"070320 Ajos,  frescos o refrigerados",,660 Afganistán,IMPORT,
"070320 Ajos,  frescos o refrigerados",,662 Pakistán,IMPORT,
"070320 Ajos,  frescos o refrigerados",,664 India,IMPORT,
"070320 Ajos,  frescos o refrigerados",,666 Bangladesh,IMPORT,
"070320 Ajos,  frescos o refrigerados",,667 Islas Maldivas,IMPORT,
"070320 Ajos,  frescos o refrigerados",,669 Sri Lanka,IMPORT,
"070320 Ajos,  frescos o refrigerados",,672 Nepal,IMPORT,
"070320 Ajos,  frescos o refrigerados",,675 Bután,IMPORT,
"070320 Ajos,  frescos o refrigerados",,676 Myanmar; (Birmania h.30/06/99),IMPORT,
"070320 Ajos,  frescos o refrigerados",,680 Tailandia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,684 Laos,IMPORT,
"070320 Ajos,  frescos o refrigerados",,690 Vietnam,IMPORT,
"070320 Ajos,  frescos o refrigerados",,696 Camboya (Campuchea),IMPORT,
"070320 Ajos,  frescos o refrigerados",,700 Indonesia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,701 Malasia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,703 Brunei Darussalam,IMPORT,
"070320 Ajos,  frescos o refrigerados",,706 Singapur,IMPORT,
"070320 Ajos,  frescos o refrigerados",,708 Filipinas,IMPORT,
"070320 Ajos,  frescos o refrigerados",,716 Mongolia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,720 China,IMPORT,"2327,39"
"070320 Ajos,  frescos o refrigerados",,724 Corea del Norte (Rep.Pop.Dem.de Corea),IMPORT,
"070320 Ajos,  frescos o refrigerados",,728 Corea del Sur (Rep. de Corea),IMPORT,
"070320 Ajos,  frescos o refrigerados",,732 Japón,IMPORT,
"070320 Ajos,  frescos o refrigerados",,736 Taiwán,IMPORT,
"070320 Ajos,  frescos o refrigerados",,740 Hong-Kong,IMPORT,
"070320 Ajos,  frescos o refrigerados",,743 Macao,IMPORT,
"070320 Ajos,  frescos o refrigerados",,800 Australia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,801 Papúa Nueva Guinea,IMPORT,
"070320 Ajos,  frescos o refrigerados",,802 I.Marianas Norte(h.31/12/00);Oc.Australiana(h.31/12/99),IMPORT,
"070320 Ajos,  frescos o refrigerados",,803 Nauru,IMPORT,
"070320 Ajos,  frescos o refrigerados",,804 Nueva Zelanda,IMPORT,
"070320 Ajos,  frescos o refrigerados",,806 Islas Salomon,IMPORT,
"070320 Ajos,  frescos o refrigerados",,807 Tuvalu,IMPORT,
"070320 Ajos,  frescos o refrigerados",,808 Azores (I.Salomon) (h.31/12/91),IMPORT,
