fila,subfila,columna,subcolumna,valor
"080910 Albaricoques, frescos",,412 México,IMPORT,
"080910 Albaricoques, frescos",,413 Bermudas,IMPORT,
"080910 Albaricoques, frescos",,416 Guatemala,IMPORT,
"080910 Albaricoques, frescos",,421 Belice,IMPORT,
"080910 Albaricoques, frescos",,424 Honduras,IMPORT,
"080910 Albaricoques, frescos",,428 El Salvador,IMPORT,
"080910 Albaricoques, frescos",,432 Nicaragua,IMPORT,
"080910 Albaricoques, frescos",,436 Costa Rica,IMPORT,
"080910 Albaricoques, frescos",,440 Panamá (h.31/12/80),IMPORT,
"080910 Albaricoques, frescos",,442 Panamá (d.01/01/81),IMPORT,
"080910 Albaricoques, frescos",,444 Canal de Panamá (h.31/12/80),IMPORT,
"080910 Albaricoques, frescos",,446 Anguilla,IMPORT,
"080910 Albaricoques, frescos",,448 Cuba,IMPORT,
"080910 Albaricoques, frescos",,449 San Cristóbal y Nieves,IMPORT,
"080910 Albaricoques, frescos",,450 Indias Occidentales (h.31/12/85),IMPORT,
"080910 Albaricoques, frescos",,451 Indias Occidentales (h.31/12/82),IMPORT,
"080910 Albaricoques, frescos",,452 Haití,IMPORT,
"080910 Albaricoques, frescos",,453 Bahamas,IMPORT,
"080910 Albaricoques, frescos",,454 Islas Turcas y Caicos,IMPORT,
"080910 Albaricoques, frescos",,455 Indias Occidentales (h.31/12/86),IMPORT,
"080910 Albaricoques, frescos",,456 República Dominicana,IMPORT,
"080910 Albaricoques, frescos",,457 Islas Virgenes (EEUU),IMPORT,
"080910 Albaricoques, frescos",,458 Guadalupe (h.31/12/96),IMPORT,
"080910 Albaricoques, frescos",,459 Antigua y Barbuda,IMPORT,
"080910 Albaricoques, frescos",,460 Dominica,IMPORT,
"080910 Albaricoques, frescos",,461 Islas Vírgenes (GB) y Montserrat (h.31/12/94),IMPORT,
"080910 Albaricoques, frescos",,462 Martinica (h.31/12/96),IMPORT,
"080910 Albaricoques, frescos",,463 Islas Caimán,IMPORT,
"080910 Albaricoques, frescos",,464 Jamaica,IMPORT,
"080910 Albaricoques, frescos",,465 Santa Lucía,IMPORT,
"080910 Albaricoques, frescos",,466 Sant Bartolomé,IMPORT,
"080910 Albaricoques, frescos",,467 San Vicente y Granadinas,IMPORT,
"080910 Albaricoques, frescos",,468 Islas Vírgenes (GB) (d.01/01/95),IMPORT,
"080910 Albaricoques, frescos",,469 Barbados,IMPORT,
"080910 Albaricoques, frescos",,470 Montserrat (d.01/01/95),IMPORT,
"080910 Albaricoques, frescos",,472 Trinidad y Tobago,IMPORT,
"080910 Albaricoques, frescos",,473 Granada,IMPORT,
"080910 Albaricoques, frescos",,474 Aruba (d.01/01/87),IMPORT,
"080910 Albaricoques, frescos",,475 Curaçao,IMPORT,
