,YEAR,TIPO,PRODUCT,UNIT,variable,value,DATE
133,2016,MERCASA,Tomate redondo liso ,kg,S23,0.8,2016-06-06
134,2016,DESTINO,Tomate redondo liso ,kg,S23,1.94,2016-06-06
135,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S23,0.18,2016-06-06
136,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S23,0.24,2016-06-06
137,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S23,0.59,2016-06-06
138,2016,ORIGEN,Tomate redondo liso ,kg,S24,0.37,2016-06-13
139,2016,MERCASA,Tomate redondo liso ,kg,S24,0.84,2016-06-13
140,2016,DESTINO,Tomate redondo liso ,kg,S24,1.95,2016-06-13
141,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S24,0.19,2016-06-13
142,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S24,0.24,2016-06-13
143,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S24,0.57,2016-06-13
144,2016,ORIGEN,Tomate redondo liso ,kg,S25,0.36,2016-06-20
145,2016,MERCASA,Tomate redondo liso ,kg,S25,0.77,2016-06-20
146,2016,DESTINO,Tomate redondo liso ,kg,S25,1.92,2016-06-20
147,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S25,0.19,2016-06-20
148,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S25,0.22,2016-06-20
149,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S25,0.6,2016-06-20
150,2016,ORIGEN,Tomate redondo liso ,kg,S26,0.37,2016-06-27
151,2016,MERCASA,Tomate redondo liso ,kg,S26,0.76,2016-06-27
152,2016,DESTINO,Tomate redondo liso ,kg,S26,1.92,2016-06-27
153,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S26,0.19,2016-06-27
154,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S26,0.2,2016-06-27
155,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S26,0.6,2016-06-27
156,2016,ORIGEN,Tomate redondo liso ,kg,S27,0.41,2016-07-04
157,2016,MERCASA,Tomate redondo liso ,kg,S27,0.79,2016-07-04
158,2016,DESTINO,Tomate redondo liso ,kg,S27,1.94,2016-07-04
159,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S27,0.21,2016-07-04
160,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S27,0.2,2016-07-04
161,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S27,0.59,2016-07-04
162,2016,ORIGEN,Tomate redondo liso ,kg,S28,0.46,2016-07-11
163,2016,MERCASA,Tomate redondo liso ,kg,S28,0.86,2016-07-11
164,2016,DESTINO,Tomate redondo liso ,kg,S28,1.96,2016-07-11
165,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S28,0.23,2016-07-11
166,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S28,0.21,2016-07-11
167,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S28,0.56,2016-07-11
168,2016,ORIGEN,Tomate redondo liso ,kg,S29,0.5,2016-07-18
169,2016,MERCASA,Tomate redondo liso ,kg,S29,0.94,2016-07-18
170,2016,DESTINO,Tomate redondo liso ,kg,S29,1.92,2016-07-18
171,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S29,0.26,2016-07-18
172,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S29,0.23,2016-07-18
173,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S29,0.51,2016-07-18
174,2016,ORIGEN,Tomate redondo liso ,kg,S30,0.61,2016-07-25
175,2016,MERCASA,Tomate redondo liso ,kg,S30,1.16,2016-07-25
176,2016,DESTINO,Tomate redondo liso ,kg,S30,1.94,2016-07-25
177,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S30,0.31,2016-07-25
178,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S30,0.28,2016-07-25
179,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S30,0.4,2016-07-25
180,2016,ORIGEN,Tomate redondo liso ,kg,S31,0.63,2016-08-01
181,2016,MERCASA,Tomate redondo liso ,kg,S31,1.01,2016-08-01
182,2016,DESTINO,Tomate redondo liso ,kg,S31,1.95,2016-08-01
183,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S31,0.32,2016-08-01
184,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S31,0.19,2016-08-01
185,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S31,0.48,2016-08-01
186,2016,ORIGEN,Tomate redondo liso ,kg,S32,0.59,2016-08-08
187,2016,MERCASA,Tomate redondo liso ,kg,S32,0.93,2016-08-08
188,2016,DESTINO,Tomate redondo liso ,kg,S32,1.94,2016-08-08
189,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S32,0.3,2016-08-08
190,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S32,0.17,2016-08-08
191,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S32,0.52,2016-08-08
192,2016,ORIGEN,Tomate redondo liso ,kg,S33,0.68,2016-08-15
193,2016,MERCASA,Tomate redondo liso ,kg,S33,0.96,2016-08-15
194,2016,DESTINO,Tomate redondo liso ,kg,S33,1.93,2016-08-15
195,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S33,0.35,2016-08-15
196,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S33,0.15,2016-08-15
197,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S33,0.5,2016-08-15
198,2016,ORIGEN,Tomate redondo liso ,kg,S34,0.75,2016-08-22
199,2016,MERCASA,Tomate redondo liso ,kg,S34,1.17,2016-08-22
200,2016,DESTINO,Tomate redondo liso ,kg,S34,1.96,2016-08-22
201,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S34,0.38,2016-08-22
202,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S34,0.21,2016-08-22
203,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S34,0.4,2016-08-22
204,2016,ORIGEN,Tomate redondo liso ,kg,S35,0.67,2016-08-29
205,2016,MERCASA,Tomate redondo liso ,kg,S35,0.96,2016-08-29
206,2016,DESTINO,Tomate redondo liso ,kg,S35,1.98,2016-08-29
207,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S35,0.34,2016-08-29
208,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S35,0.15,2016-08-29
209,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S35,0.51,2016-08-29
210,2016,ORIGEN,Tomate redondo liso ,kg,S36,0.6,2016-09-05
211,2016,MERCASA,Tomate redondo liso ,kg,S36,0.92,2016-09-05
212,2016,DESTINO,Tomate redondo liso ,kg,S36,2.0,2016-09-05
213,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S36,0.3,2016-09-05
214,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S36,0.16,2016-09-05
215,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S36,0.54,2016-09-05
216,2016,ORIGEN,Tomate redondo liso ,kg,S37,0.52,2016-09-12
217,2016,MERCASA,Tomate redondo liso ,kg,S37,0.88,2016-09-12
218,2016,DESTINO,Tomate redondo liso ,kg,S37,2.01,2016-09-12
219,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S37,0.26,2016-09-12
220,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S37,0.18,2016-09-12
221,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S37,0.56,2016-09-12
222,2016,ORIGEN,Tomate redondo liso ,kg,S38,0.56,2016-09-19
223,2016,MERCASA,Tomate redondo liso ,kg,S38,0.92,2016-09-19
224,2016,DESTINO,Tomate redondo liso ,kg,S38,1.99,2016-09-19
225,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S38,0.28,2016-09-19
226,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S38,0.18,2016-09-19
227,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S38,0.54,2016-09-19
228,2016,ORIGEN,Tomate redondo liso ,kg,S39,0.61,2016-09-26
229,2016,MERCASA,Tomate redondo liso ,kg,S39,0.93,2016-09-26
230,2016,DESTINO,Tomate redondo liso ,kg,S39,1.98,2016-09-26
231,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S39,0.31,2016-09-26
232,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S39,0.16,2016-09-26
233,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S39,0.53,2016-09-26
234,2016,ORIGEN,Tomate redondo liso ,kg,S40,0.6,2016-10-03
235,2016,MERCASA,Tomate redondo liso ,kg,S40,1.09,2016-10-03
236,2016,DESTINO,Tomate redondo liso ,kg,S40,1.98,2016-10-03
237,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S40,0.3,2016-10-03
238,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S40,0.25,2016-10-03
239,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S40,0.45,2016-10-03
240,2016,ORIGEN,Tomate redondo liso ,kg,S41,0.61,2016-10-10
241,2016,MERCASA,Tomate redondo liso ,kg,S41,1.06,2016-10-10
242,2016,DESTINO,Tomate redondo liso ,kg,S41,2.0,2016-10-10
243,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S41,0.3,2016-10-10
244,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S41,0.22,2016-10-10
245,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S41,0.47,2016-10-10
246,2016,ORIGEN,Tomate redondo liso ,kg,S42,0.68,2016-10-17
247,2016,MERCASA,Tomate redondo liso ,kg,S42,1.03,2016-10-17
248,2016,DESTINO,Tomate redondo liso ,kg,S42,2.02,2016-10-17
249,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S42,0.34,2016-10-17
250,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S42,0.17,2016-10-17
251,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S42,0.49,2016-10-17
252,2016,ORIGEN,Tomate redondo liso ,kg,S43,0.62,2016-10-24
253,2016,MERCASA,Tomate redondo liso ,kg,S43,1.05,2016-10-24
254,2016,DESTINO,Tomate redondo liso ,kg,S43,2.03,2016-10-24
255,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S43,0.31,2016-10-24
256,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S43,0.21,2016-10-24
257,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S43,0.48,2016-10-24
258,2016,ORIGEN,Tomate redondo liso ,kg,S44,0.56,2016-10-31
259,2016,MERCASA,Tomate redondo liso ,kg,S44,0.97,2016-10-31
260,2016,DESTINO,Tomate redondo liso ,kg,S44,2.03,2016-10-31
261,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S44,0.28,2016-10-31
262,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S44,0.2,2016-10-31
263,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S44,0.52,2016-10-31
264,2016,ORIGEN,Tomate redondo liso ,kg,S45,0.41,2016-11-07
265,2016,MERCASA,Tomate redondo liso ,kg,S45,1.03,2016-11-07
266,2016,DESTINO,Tomate redondo liso ,kg,S45,2.03,2016-11-07
267,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S45,0.2,2016-11-07
268,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S45,0.3,2016-11-07
269,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S45,0.49,2016-11-07
270,2016,ORIGEN,Tomate redondo liso ,kg,S46,0.44,2016-11-14
271,2016,MERCASA,Tomate redondo liso ,kg,S46,0.95,2016-11-14
272,2016,DESTINO,Tomate redondo liso ,kg,S46,2.02,2016-11-14
273,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S46,0.22,2016-11-14
274,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S46,0.25,2016-11-14
275,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S46,0.53,2016-11-14
276,2016,ORIGEN,Tomate redondo liso ,kg,S47,0.54,2016-11-21
277,2016,MERCASA,Tomate redondo liso ,kg,S47,0.96,2016-11-21
278,2016,DESTINO,Tomate redondo liso ,kg,S47,2.03,2016-11-21
279,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S47,0.27,2016-11-21
280,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S47,0.21,2016-11-21
281,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S47,0.53,2016-11-21
282,2016,ORIGEN,Tomate redondo liso ,kg,S48,0.78,2016-11-28
283,2016,MERCASA,Tomate redondo liso ,kg,S48,1.12,2016-11-28
284,2016,DESTINO,Tomate redondo liso ,kg,S48,2.02,2016-11-28
285,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S48,0.39,2016-11-28
286,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S48,0.17,2016-11-28
287,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S48,0.45,2016-11-28
288,2016,ORIGEN,Tomate redondo liso ,kg,S49,0.86,2016-12-05
289,2016,MERCASA,Tomate redondo liso ,kg,S49,1.23,2016-12-05
290,2016,DESTINO,Tomate redondo liso ,kg,S49,2.03,2016-12-05
291,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S49,0.42,2016-12-05
292,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S49,0.18,2016-12-05
293,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S49,0.4,2016-12-05
294,2016,ORIGEN,Tomate redondo liso ,kg,S50,0.67,2016-12-12
295,2016,MERCASA,Tomate redondo liso ,kg,S50,1.2,2016-12-12
296,2016,DESTINO,Tomate redondo liso ,kg,S50,2.11,2016-12-12
297,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S50,0.32,2016-12-12
298,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S50,0.25,2016-12-12
299,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S50,0.43,2016-12-12
300,2016,ORIGEN,Tomate redondo liso ,kg,S51,0.66,2016-12-19
301,2016,MERCASA,Tomate redondo liso ,kg,S51,1.19,2016-12-19
302,2016,DESTINO,Tomate redondo liso ,kg,S51,2.11,2016-12-19
303,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S51,0.31,2016-12-19
304,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S51,0.25,2016-12-19
305,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S51,0.44,2016-12-19
306,2016,ORIGEN,Tomate redondo liso ,kg,S52,0.59,2016-12-26
307,2016,MERCASA,Tomate redondo liso ,kg,S52,1.17,2016-12-26
308,2016,DESTINO,Tomate redondo liso ,kg,S52,2.1,2016-12-26
309,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S52,0.28,2016-12-26
310,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S52,0.28,2016-12-26
311,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S52,0.44,2016-12-26
