fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,006 Reino Unido,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,006 Reino Unido,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,006 Reino Unido,1  Marítimo,"21360,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,006 Reino Unido,1  Marítimo,"279400,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,3  Carretera,"5018634,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,006 Reino Unido,3  Carretera,"233594,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,006 Reino Unido,3  Carretera,"820851,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,006 Reino Unido,3  Carretera,"23380,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,006 Reino Unido,3  Carretera,"302548,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,006 Reino Unido,3  Carretera,"1328025,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,006 Reino Unido,3  Carretera,"2310236,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,Total modo transporte,"1374735,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,007 Irlanda,Total modo transporte,"29800,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,007 Irlanda,Total modo transporte,"16479,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,007 Irlanda,Total modo transporte,"12610,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,007 Irlanda,Total modo transporte,"12210,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,007 Irlanda,Total modo transporte,"25637,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,007 Irlanda,Total modo transporte,"1277998,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,1  Marítimo,"25000,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,007 Irlanda,1  Marítimo,"25000,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,3  Carretera,"1349735,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,007 Irlanda,3  Carretera,"4800,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,007 Irlanda,3  Carretera,"16479,50"
