,producto,fecha,pais,transporte,Ton,tipo,Percent
52,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Portugal,Carretera,589.26,import,0.002813931400644549
53,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Portugal,Carretera,416.78,import,0.001990276497913714
58,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Bélgica,Carretera,18.99,import,9.068417557315954e-05
64,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Austria,Carretera,19.61,import,9.364490168455284e-05
71,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Estonia,Carretera,1.2,import,5.730437634954789e-06
77,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Lituania,Carretera,1.2,import,5.730437634954789e-06
82,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Polonia,Carretera,217.91,import,0.0010405997208608319
88,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, República Checa,Carretera,32.46,import,0.00015500833802552705
94,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Eslovaquia,Carretera,16.69,import,7.970083677282953e-05
100,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Hungría,Carretera,62.26,import,0.00029731420596023765
106,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Rumanía,Carretera,8.01,import,3.825067121332322e-05
107,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Rumanía,Carretera,45.32,import,0.0002164195280134592
112,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Bulgaria,Carretera,0.38,import,1.81463858440235e-06
118,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Eslovenia,Carretera,0.9,import,4.297828226216092e-06
124,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Croacia,Carretera,1.53,import,7.306307984567356e-06
130,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Marruecos,Marítimo,6251.97,import,0.02985543681717358
131,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Marruecos,Marítimo,5702.66,import,0.027232281236126067
133,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Marruecos,Carretera,186.83,import,0.0008921813861155028
134,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Marruecos,Carretera,187.0,import,0.000892993198113788
139,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Egipto,Carretera,48.67,import,0.00023241699974437468
140,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Egipto,Carretera,74.79,import,0.00035714952559855726
145,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Colombia,Carretera,0.23,import,1.0983338800330013e-06
146,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Colombia,Carretera,0.23,import,1.0983338800330013e-06
31,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Francia,Carretera,1034.92,import,0.004942120430972843
32,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Francia,Carretera,494.14,import,0.002359698710780466
33,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Francia,Carretera,567.62,import,0.0027105925086275315
34,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Francia,Carretera,123.09,import,0.0005877996404054875
35,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Francia,Carretera,178.07,import,0.0008503491913803327
43,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Países Bajos,Carretera,473.97,import,0.002263379604866268
44,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Países Bajos,Carretera,498.43,import,0.0023801850253254296
45,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Países Bajos,Carretera,1758.12,import,0.008395664178972261
46,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Países Bajos,Carretera,5164.37,import,0.02466175017402622
47,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Países Bajos,Carretera,8039.64,import,0.0383922130229066
55,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Alemania,Carretera,1.84,import,8.78667104026401e-06
56,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Alemania,Carretera,21.15,import,0.00010099896331607816
57,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Alemania,Carretera,184.73,import,0.0008821531202543318
58,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Alemania,Carretera,310.66,import,0.0014835147963958792
59,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Alemania,Carretera,579.33,import,0.0027665120292152986
67,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Italia,Carretera,36.24,import,0.00017305921657563466
68,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Italia,Carretera,4.98,import,2.3781316185062377e-05
69,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Italia,Carretera,37.84,import,0.0001806998000889077
70,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Italia,Carretera,29.56,import,0.00014115978040771964
71,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Italia,Carretera,28.17,import,0.0001345220234805637
79,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Reino Unido,Carretera,5.46,import,2.607349123904429e-05
80,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Reino Unido,Carretera,45.33,import,0.00021646728166041716
81,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Reino Unido,Carretera,0.64,import,3.0562334053092212e-06
82,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Reino Unido,Carretera,19.8,import,9.455222097675402e-05
83,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Reino Unido,Carretera,73.7,import,0.00035194437808014
92,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Grecia,Carretera,0.03,import,1.4326094087386973e-07
104,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Portugal,Marítimo,40.47,import,0.00019325900923885026
105,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Portugal,Marítimo,50.15,import,0.00023948453949415225
109,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Portugal,Carretera,1049.25,import,0.005010551407063594
110,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Portugal,Carretera,2790.88,import,0.013327469822202186
111,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Portugal,Carretera,13882.71,import,0.06629500321596933
112,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Portugal,Carretera,10029.21,import,0.04789313536072076
113,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Portugal,Carretera,16098.15,import,0.07687453717762287
121,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Bélgica,Carretera,37.41,import,0.00017864639326971554
122,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Bélgica,Carretera,58.0,import,0.00027697115235614814
123,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Bélgica,Carretera,264.68,import,0.0012639435276831947
124,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Bélgica,Carretera,633.64,import,0.0030258620858439607
125,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Bélgica,Carretera,1174.68,import,0.005609525400857244
134,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Austria,Carretera,4.18,import,1.996102442842585e-05
137,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Austria,Carretera,19.58,import,9.350164074367898e-05
145,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Estonia,Carretera,0.25,import,1.1938411739489144e-06
158,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Lituania,Carretera,1.8,import,8.595656452432184e-06
169,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Polonia,Carretera,96.97,import,0.0004630671145513049
170,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Polonia,Carretera,112.1,import,0.0005353183823986932
171,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Polonia,Carretera,551.24,import,0.0026323720349103984
172,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Polonia,Carretera,1684.8,import,0.008045534439476525
173,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Polonia,Carretera,1837.93,import,0.008776786035343714
183,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Eslovaquia,Carretera,0.93,import,4.4410891670899624e-06
194,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Albania,Carretera,21.13,import,0.00010090345602216224
209,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Ucrania,Carretera,18.72,import,8.939482710529471e-05
217,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Eslovenia,Carretera,5.44,import,2.597798394512838e-05
218,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Eslovenia,Carretera,7.13,import,3.404835028102304e-05
229,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Marruecos,Marítimo,5261.77,import,0.025126870695396722
230,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Marruecos,Marítimo,4254.8,import,0.020318221707671367
231,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Marruecos,Marítimo,2344.36,import,0.01119517397823551
232,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Marruecos,Marítimo,756.62,import,0.0036131364361329105
233,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Marruecos,Marítimo,941.89,import,0.004497868253322972
235,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Marruecos,Carretera,222.0,import,0.001060130962466636
236,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Marruecos,Carretera,242.6,import,0.0011585034752000266
237,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Marruecos,Carretera,235.57,import,0.0011249326613885832
238,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Marruecos,Carretera,51.66,import,0.0002466953401848037
239,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Marruecos,Carretera,69.88,import,0.00033370248494220056
241,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Marruecos,Propulsión propia,18.03,import,8.609982546519571e-05
253,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Egipto,Carretera,8.04,import,3.839393215419708e-05
268,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Costa de Marfil,Carretera,0.59,import,2.817465170519438e-06
280,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Camerún,Carretera,6.1,import,2.912972464435351e-05
292,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Sudáfrica,Carretera,39.6,import,0.00018910444195350805
293,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Sudáfrica,Carretera,415.8,import,0.0019855966405118346
303,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, México,Carretera,19.8,import,9.455222097675402e-05
305,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, México,Carretera,4.1,import,1.9578995252762197e-05
313,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Colombia,Carretera,0.08,import,3.8202917566365266e-07
314,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Colombia,Carretera,0.07,import,3.342755287056961e-07
315,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Colombia,Carretera,0.07,import,3.342755287056961e-07
317,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Colombia,Carretera,0.02,import,9.550729391591316e-08
327,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Ecuador,Carretera,1.44,import,6.876525161945747e-06
329,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Ecuador,Carretera,20.97,import,0.00010013939767083494
338,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Líbano,Carretera,0.09,import,4.297828226216092e-07
339,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Líbano,Carretera,0.12,import,5.730437634954789e-07
341,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Líbano,Carretera,0.02,import,9.550729391591316e-08
25,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Francia,Carretera,746.16,import,0.003563186121414888
26,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Francia,Carretera,169.15,import,0.0008077529382938355
27,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Francia,Carretera,808.79,import,0.00386226721231257
28,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Francia,Carretera,662.56,import,0.0031639656328463707
29,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Francia,Carretera,447.76,import,0.0021382172961894636
37,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Países Bajos,Carretera,7056.96,import,0.033699557643642124
38,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Países Bajos,Carretera,5921.32,import,0.028276462480508743
39,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Países Bajos,Carretera,994.51,import,0.00474914794361574
40,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Países Bajos,Carretera,3028.88,import,0.014464006619801552
41,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Países Bajos,Carretera,1335.37,import,0.006376878753824647
49,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Alemania,Carretera,553.04,import,0.0026409676913628304
50,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Alemania,Carretera,484.79,import,0.002315049050874777
51,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Alemania,Carretera,552.63,import,0.002639009791837554
52,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Alemania,Carretera,74.59,import,0.00035619445265939814
53,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Alemania,Carretera,1.52,import,7.2585543376094e-06
63,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Italia,Marítimo,4.21,import,2.010428536929972e-05
65,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Italia,Marítimo,3.7,import,1.7668849374443935e-05
67,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Italia,Carretera,11.14,import,5.3197562711163634e-05
68,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Italia,Carretera,15.08,import,7.201249961259853e-05
69,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Italia,Carretera,19.23,import,9.18302631001505e-05
70,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Italia,Carretera,32.7,import,0.00015615442555251804
71,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Italia,Carretera,15.2,import,7.2585543376094e-05
79,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Reino Unido,Carretera,9.08,import,4.336031143782458e-05
80,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Reino Unido,Carretera,67.93,import,0.0003243905237853991
81,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Reino Unido,Carretera,166.68,import,0.0007959577874952203
82,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Reino Unido,Carretera,0.54,import,2.5786969357296553e-06
83,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Reino Unido,Carretera,6.44,import,3.075334864092404e-05
91,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Dinamarca,Carretera,1.03,import,4.918625636669528e-06
92,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Dinamarca,Carretera,0.21,import,1.0028265861170882e-06
93,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Dinamarca,Carretera,113.97,import,0.0005442483143798311
