,YEAR,TIPO,product,unit,variable,value,DATE
246,2015,origen,Patata ,kg,S21,0.31,2015-05-25
247,2015,mercado,Patata,kg,S21,0.39,2015-05-25
248,2015,consumo,Patata,kg,S21,0.89,2015-05-25
249,2014,origen,Patata ,kg,S21,0.25,2014-05-26
250,2014,mercado,Patata,kg,S21,0.28,2014-05-26
251,2014,consumo,Patata,kg,S21,0.98,2014-05-26
252,2017,origen,Patata ,kg,S22,0.34,2017-05-29
253,2017,mercado,Patata,kg,S22,0.38,2017-05-29
254,2017,consumo,Patata,kg,S22,1.06,2017-05-29
255,2016,origen,Patata ,kg,S22,0.39,2016-05-30
256,2016,mercado,Patata,kg,S22,0.52,2016-05-30
257,2016,consumo,Patata,kg,S22,1.04,2016-05-30
258,2015,origen,Patata ,kg,S22,0.28,2015-06-01
259,2015,mercado,Patata,kg,S22,0.4,2015-06-01
260,2015,consumo,Patata,kg,S22,0.9,2015-06-01
261,2014,origen,Patata ,kg,S22,0.2,2014-06-02
262,2014,mercado,Patata,kg,S22,0.26,2014-06-02
263,2014,consumo,Patata,kg,S22,0.97,2014-06-02
264,2017,origen,Patata ,kg,S23,0.3,2017-06-05
265,2017,mercado,Patata,kg,S23,0.38,2017-06-05
266,2017,consumo,Patata,kg,S23,1.06,2017-06-05
267,2016,origen,Patata ,kg,S23,0.33,2016-06-06
268,2016,mercado,Patata,kg,S23,0.51,2016-06-06
269,2016,consumo,Patata,kg,S23,1.05,2016-06-06
270,2015,origen,Patata ,kg,S23,0.26,2015-06-08
271,2015,mercado,Patata,kg,S23,0.4,2015-06-08
272,2015,consumo,Patata,kg,S23,0.92,2015-06-08
273,2014,origen,Patata ,kg,S23,0.21,2014-06-09
274,2014,mercado,Patata,kg,S23,0.26,2014-06-09
275,2014,consumo,Patata,kg,S23,0.96,2014-06-09
276,2017,origen,Patata ,kg,S24,0.23,2017-06-12
277,2017,mercado,Patata,kg,S24,0.36,2017-06-12
278,2017,consumo,Patata,kg,S24,1.05,2017-06-12
279,2016,origen,Patata ,kg,S24,0.34,2016-06-13
280,2016,mercado,Patata,kg,S24,0.5,2016-06-13
281,2016,consumo,Patata,kg,S24,1.05,2016-06-13
282,2015,origen,Patata ,kg,S24,0.26,2015-06-15
283,2015,mercado,Patata,kg,S24,0.37,2015-06-15
284,2015,consumo,Patata,kg,S24,0.92,2015-06-15
285,2014,origen,Patata ,kg,S24,0.2,2014-06-16
286,2014,mercado,Patata,kg,S24,0.25,2014-06-16
287,2014,consumo,Patata,kg,S24,0.94,2014-06-16
288,2017,origen,Patata ,kg,S25,0.22,2017-06-19
289,2017,mercado,Patata,kg,S25,0.34,2017-06-19
290,2017,consumo,Patata,kg,S25,1.05,2017-06-19
291,2016,origen,Patata ,kg,S25,0.36,2016-06-20
292,2016,mercado,Patata,kg,S25,0.5,2016-06-20
293,2016,consumo,Patata,kg,S25,1.06,2016-06-20
294,2015,origen,Patata ,kg,S25,0.28,2015-06-22
295,2015,mercado,Patata,kg,S25,0.37,2015-06-22
296,2015,consumo,Patata,kg,S25,0.92,2015-06-22
297,2014,origen,Patata ,kg,S25,0.18,2014-06-23
298,2014,mercado,Patata,kg,S25,0.26,2014-06-23
299,2014,consumo,Patata,kg,S25,0.94,2014-06-23
300,2017,origen,Patata ,kg,S26,0.18,2017-06-26
301,2017,mercado,Patata,kg,S26,0.33,2017-06-26
302,2017,consumo,Patata,kg,S26,1.05,2017-06-26
303,2016,origen,Patata ,kg,S26,0.39,2016-06-27
304,2016,mercado,Patata,kg,S26,0.52,2016-06-27
305,2016,consumo,Patata,kg,S26,1.06,2016-06-27
306,2015,origen,Patata ,kg,S26,0.25,2015-06-29
307,2015,mercado,Patata,kg,S26,0.35,2015-06-29
308,2015,consumo,Patata,kg,S26,0.94,2015-06-29
309,2014,origen,Patata ,kg,S26,0.19,2014-06-30
310,2014,mercado,Patata,kg,S26,0.28,2014-06-30
311,2014,consumo,Patata,kg,S26,0.94,2014-06-30
312,2017,origen,Patata ,kg,S27,0.21,2017-07-03
313,2017,mercado,Patata,kg,S27,0.32,2017-07-03
314,2017,consumo,Patata,kg,S27,1.04,2017-07-03
315,2016,origen,Patata ,kg,S27,0.37,2016-07-04
316,2016,mercado,Patata,kg,S27,0.51,2016-07-04
317,2016,consumo,Patata,kg,S27,1.05,2016-07-04
318,2015,origen,Patata ,kg,S27,0.23,2015-07-06
319,2015,mercado,Patata,kg,S27,0.32,2015-07-06
320,2015,consumo,Patata,kg,S27,0.94,2015-07-06
321,2014,origen,Patata ,kg,S27,0.28,2014-07-07
322,2014,mercado,Patata,kg,S27,0.31,2014-07-07
323,2014,consumo,Patata,kg,S27,0.94,2014-07-07
324,2017,origen,Patata ,kg,S28,0.18,2017-07-10
325,2017,mercado,Patata,kg,S28,0.32,2017-07-10
326,2017,consumo,Patata,kg,S28,1.04,2017-07-10
327,2016,origen,Patata ,kg,S28,0.35,2016-07-11
328,2016,mercado,Patata,kg,S28,0.53,2016-07-11
329,2016,consumo,Patata,kg,S28,1.05,2016-07-11
330,2015,origen,Patata ,kg,S28,0.28,2015-07-13
331,2015,mercado,Patata,kg,S28,0.31,2015-07-13
332,2015,consumo,Patata,kg,S28,0.94,2015-07-13
333,2014,origen,Patata ,kg,S28,0.29,2014-07-14
334,2014,mercado,Patata,kg,S28,0.3,2014-07-14
335,2014,consumo,Patata,kg,S28,0.94,2014-07-14
336,2017,origen,Patata ,kg,S29,,2017-07-17
337,2017,mercado,Patata,kg,S29,,2017-07-17
338,2017,consumo,Patata,kg,S29,,2017-07-17
339,2016,origen,Patata ,kg,S29,0.35,2016-07-18
340,2016,mercado,Patata,kg,S29,0.52,2016-07-18
341,2016,consumo,Patata,kg,S29,1.06,2016-07-18
342,2015,origen,Patata ,kg,S29,0.22,2015-07-20
343,2015,mercado,Patata,kg,S29,0.31,2015-07-20
344,2015,consumo,Patata,kg,S29,0.94,2015-07-20
345,2014,origen,Patata ,kg,S29,0.24,2014-07-21
346,2014,mercado,Patata,kg,S29,0.29,2014-07-21
347,2014,consumo,Patata,kg,S29,0.94,2014-07-21
348,2017,origen,Patata ,kg,S30,,2017-07-24
349,2017,mercado,Patata,kg,S30,,2017-07-24
350,2017,consumo,Patata,kg,S30,,2017-07-24
351,2016,origen,Patata ,kg,S30,0.34,2016-07-25
352,2016,mercado,Patata,kg,S30,0.52,2016-07-25
353,2016,consumo,Patata,kg,S30,1.05,2016-07-25
354,2015,origen,Patata ,kg,S30,0.23,2015-07-27
355,2015,mercado,Patata,kg,S30,0.28,2015-07-27
356,2015,consumo,Patata,kg,S30,0.94,2015-07-27
357,2014,origen,Patata ,kg,S30,0.2,2014-07-28
358,2014,mercado,Patata,kg,S30,0.27,2014-07-28
359,2014,consumo,Patata,kg,S30,0.94,2014-07-28
360,2017,origen,Patata ,kg,S31,,2017-07-31
361,2017,mercado,Patata,kg,S31,,2017-07-31
362,2017,consumo,Patata,kg,S31,,2017-07-31
363,2016,origen,Patata ,kg,S31,0.33,2016-08-01
364,2016,mercado,Patata,kg,S31,0.46,2016-08-01
365,2016,consumo,Patata,kg,S31,1.06,2016-08-01
366,2015,origen,Patata ,kg,S31,0.21,2015-08-03
367,2015,mercado,Patata,kg,S31,0.29,2015-08-03
368,2015,consumo,Patata,kg,S31,0.94,2015-08-03
369,2014,origen,Patata ,kg,S31,0.2,2014-08-04
370,2014,mercado,Patata,kg,S31,0.26,2014-08-04
371,2014,consumo,Patata,kg,S31,0.94,2014-08-04
372,2017,origen,Patata ,kg,S32,,2017-08-07
373,2017,mercado,Patata,kg,S32,,2017-08-07
374,2017,consumo,Patata,kg,S32,,2017-08-07
375,2016,origen,Patata ,kg,S32,0.33,2016-08-08
376,2016,mercado,Patata,kg,S32,0.46,2016-08-08
377,2016,consumo,Patata,kg,S32,1.06,2016-08-08
378,2015,origen,Patata ,kg,S32,0.17,2015-08-10
379,2015,mercado,Patata,kg,S32,0.3,2015-08-10
380,2015,consumo,Patata,kg,S32,0.94,2015-08-10
381,2014,origen,Patata ,kg,S32,0.12,2014-08-11
382,2014,mercado,Patata,kg,S32,0.26,2014-08-11
383,2014,consumo,Patata,kg,S32,0.94,2014-08-11
384,2017,origen,Patata ,kg,S33,,2017-08-14
385,2017,mercado,Patata,kg,S33,,2017-08-14
386,2017,consumo,Patata,kg,S33,,2017-08-14
387,2016,origen,Patata ,kg,S33,0.33,2016-08-15
388,2016,mercado,Patata,kg,S33,0.44,2016-08-15
389,2016,consumo,Patata,kg,S33,1.06,2016-08-15
390,2015,origen,Patata ,kg,S33,0.17,2015-08-17
391,2015,mercado,Patata,kg,S33,0.29,2015-08-17
392,2015,consumo,Patata,kg,S33,0.94,2015-08-17
393,2014,origen,Patata ,kg,S33,0.13,2014-08-18
394,2014,mercado,Patata,kg,S33,0.25,2014-08-18
395,2014,consumo,Patata,kg,S33,0.93,2014-08-18
396,2017,origen,Patata ,kg,S34,,2017-08-21
397,2017,mercado,Patata,kg,S34,,2017-08-21
398,2017,consumo,Patata,kg,S34,,2017-08-21
399,2016,origen,Patata ,kg,S34,0.34,2016-08-22
400,2016,mercado,Patata,kg,S34,0.5,2016-08-22
401,2016,consumo,Patata,kg,S34,1.06,2016-08-22
402,2015,origen,Patata ,kg,S34,0.18,2015-08-24
403,2015,mercado,Patata,kg,S34,0.3,2015-08-24
404,2015,consumo,Patata,kg,S34,0.94,2015-08-24
405,2014,origen,Patata ,kg,S34,0.13,2014-08-25
406,2014,mercado,Patata,kg,S34,0.24,2014-08-25
407,2014,consumo,Patata,kg,S34,0.93,2014-08-25
408,2017,origen,Patata ,kg,S35,,2017-08-28
409,2017,mercado,Patata,kg,S35,,2017-08-28
410,2017,consumo,Patata,kg,S35,,2017-08-28
411,2016,origen,Patata ,kg,S35,0.32,2016-08-29
412,2016,mercado,Patata,kg,S35,0.47,2016-08-29
413,2016,consumo,Patata,kg,S35,1.06,2016-08-29
414,2015,origen,Patata ,kg,S35,0.17,2015-08-31
415,2015,mercado,Patata,kg,S35,0.31,2015-08-31
416,2015,consumo,Patata,kg,S35,0.93,2015-08-31
417,2014,origen,Patata ,kg,S35,0.12,2014-09-01
418,2014,mercado,Patata,kg,S35,0.25,2014-09-01
419,2014,consumo,Patata,kg,S35,0.92,2014-09-01
420,2017,origen,Patata ,kg,S36,,2017-09-04
421,2017,mercado,Patata,kg,S36,,2017-09-04
422,2017,consumo,Patata,kg,S36,,2017-09-04
423,2016,origen,Patata ,kg,S36,0.32,2016-09-05
424,2016,mercado,Patata,kg,S36,0.45,2016-09-05
425,2016,consumo,Patata,kg,S36,1.06,2016-09-05
426,2015,origen,Patata ,kg,S36,0.18,2015-09-07
427,2015,mercado,Patata,kg,S36,0.31,2015-09-07
428,2015,consumo,Patata,kg,S36,0.93,2015-09-07
429,2014,origen,Patata ,kg,S36,0.11,2014-09-08
430,2014,mercado,Patata,kg,S36,0.23,2014-09-08
431,2014,consumo,Patata,kg,S36,0.91,2014-09-08
432,2017,origen,Patata ,kg,S37,,2017-09-11
