,producto,fecha,pais,transporte,kg
191,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Bélgica (d.01/01/99), Marítimo,0.0
192,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Bélgica (d.01/01/99), Marítimo,0.0
193,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Bélgica (d.01/01/99), Marítimo,900.0
194,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Bélgica (d.01/01/99), Marítimo,450.0
195,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Bélgica (d.01/01/99), Marítimo,900.0
197,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Bélgica (d.01/01/99), Carretera,2114831.0
198,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Bélgica (d.01/01/99), Carretera,1709263.0
199,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Bélgica (d.01/01/99), Carretera,282960.0
200,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Bélgica (d.01/01/99), Carretera,98537.0
201,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Bélgica (d.01/01/99), Carretera,465542.0
202,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Bélgica (d.01/01/99), Carretera,1226428.0
211,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Luxemburgo (d.01/01/99), Carretera,341160.0
212,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Luxemburgo (d.01/01/99), Carretera,292500.0
213,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Luxemburgo (d.01/01/99), Carretera,213440.0
214,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Luxemburgo (d.01/01/99), Carretera,50400.0
215,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Luxemburgo (d.01/01/99), Carretera,0.0
216,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Luxemburgo (d.01/01/99), Carretera,0.0
225,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Suecia, Marítimo,306000.0
226,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Suecia, Marítimo,334000.0
227,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Suecia, Marítimo,51000.0
228,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Suecia, Marítimo,0.0
229,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Suecia, Marítimo,0.0
230,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Suecia, Marítimo,0.0
